Country,Population,Percentage of World Population,Total Area (km2),Percentage Water,Total Nominal GDP,Per Capita GDP
 Republic of the Congo,"5,380,508",0.0695,342,3.3,11162000000,2444
 Norway,"5,345,599",0.0690,385,5.7,443000000000,82711
 Costa Rica,"5,058,007",0.0653,51,0.7,61021000000,12015
 New Zealand,"4,938,000",0.0638,268,1.6,206000000000,41616
 Ireland,"4,921,500",0.0636,70,2.00,385000000000,80641
 Oman,"4,670,745",0.0603,309,0.0,76609000000,17791
 Liberia,"4,475,353",0.0578,111,13.514,3221000000,704
 Kuwait,"4,420,110",0.0571,17,0.0,118271000000,28199
 Panama,"4,218,808",0.0545,75,2.9,72215000000,17117
 Croatia,"4,130,304",0.0533,56,1.09,61586000000,15137
 Mauritania,"4,077,347",0.0527,1,0.03,5200000000,1309
 Uruguay,"3,518,552",0.0454,176,1.5,60231000000,17118
 Eritrea,"3,497,117",0.0452,117,0.14,7720000000,1253
 Bosnia and Herzegovina,"3,301,000",0.0426,51,1.4,20720000000,5917
 Mongolia,"3,283,875",0.0424,1,0.67,13700000000,4151
 Puerto Rico ,"3,195,153",0.0413,9,1.6,104557000000,32004
 Armenia,"2,961,600",0.0383,29,4.71,13302000000,4446
 Albania,"2,862,427",0.0370,28,4.7,15121000000,5261
 Lithuania,"2,793,722",0.0361,65,1.35,54000000000,19266
 Qatar,"2,747,282",0.0355,11,0.8,183807000000,66202
 Jamaica,"2,726,667",0.0352,10,1.5,15424000000,5393
 Namibia,"2,458,936",0.0318,825,0.0,14148000000,5923
 The Gambia,"2,347,706",0.0303,10,11.5,1038000000,488
 Botswana,"2,338,851",0.0302,581,2.7,19651000000,8263.22
 Gabon,"2,172,579",0.0281,267,3.76,17212000000,8384
 Slovenia,"2,084,301",0.0269,20,0.7,55000000000,26621
 North Macedonia,"2,077,132",0.0268,25,1.9,12383000000,6143
 Lesotho,"2,007,201",0.0259,30,0.0032,2721000000,1413
 Latvia,"1,911,200",0.0247,64,1.57,35721000000,18522
 Kosovo,"1,795,666",0.0232,10,1.0,8125999999,4447
 Guinea-Bissau,"1,604,528",0.0207,36,22.4,1480000000,851
 Bahrain,"1,543,300",0.0199,778,0.0,39300000000,26531
 East Timor,"1,387,149",0.0179,15,0.0,3145000000,2422
 Trinidad and Tobago,"1,359,193",0.0176,5,0.0,22438000000,16243
 Equatorial Guinea,"1,358,276",0.0175,28,0.0,12432000000,9141
 Estonia,"1,324,820",0.0171,45,4.45,31038000000,23523
 Mauritius,"1,265,985",0.0164,2,0.07,14812000000,11693
 Eswatini,"1,093,238",0.0141,17,0.9,4662000000,4206
 Djibouti,"1,078,373",0.0139,23,0.09,2187000000,2084
 Fiji,"884,887",0.0114,18,0.0,5223000000,5876
 Comoros,"873,724",0.0113,1,0.0,781000000,894
 Guyana,"782,766",0.0101,214,8.4,3830000000,4880
 Bhutan,"741,672",0.00958,38,1.1,2547000000,3117
 Solomon Islands,"680,806",0.00879,28,3.2,1511000000,2357
 Macau ,"672,000",0.00868,115,73.7,54545000000,81728
 Montenegro,"622,359",0.00804,13,2.6,5443000000,8711
 Luxembourg,"613,894",0.00793,2,0.60,77436000000,125364
 Suriname,"581,372",0.00751,163,1.1,4110000000,6881
 Cape Verde,"550,483",0.00711,4,0.0,2041999999,3651
 Malta,"493,559",0.00637,316,0.001,15134000000,32021
 Transnistria,"469,000",0.00606,4,2.35,1000000000,2000
 Brunei,"442,400",0.00571,5,8.6,13325000000,30290
 Belize,"408,487",0.00528,22,0.8,1912000000,4906
 Bahamas,"385,340",0.00498,13,28,12803000000,34002
 Iceland,"360,390",0.00465,102,2.7,27000000000,75700
 Northern Cyprus,"351,965",0.00455,3,2.7,3685000000,12702
 Barbados,"287,025",0.00371,439,0.0,5207000000,18133
 São Tomé and Príncipe,"201,784",0.00261,1,0.0,355000000,1668
 Samoa,"200,874",0.00259,2,0.3,881000000,4420
 Saint Lucia,"178,696",0.00231,617,1.6,1774000000,10042
 Aruba ,"112,309",0.00145,178,0.0,2875000000,25750
 Grenada,"112,003",0.00145,348,1.6,1249000000,11518
 Saint Vincent and the Grenadines,"110,608",0.00143,389,0.0,864000000,7827
 Federated States of Micronesia,"104,468",0.00135,702,0.0,383000000,3735
 Tonga,"100,651",0.00130,748,4.0,493000000,4888
 Seychelles,"97,625",0.00126,459,0.0,1564000000,16332
 Antigua and Barbuda,"96,453",0.00125,440,0.0,1717000000,18416
 Andorra,"76,177",0.000984,467,0.26,3237000000,42035
 Dominica,"71,808",0.000927,750,1.6,485000000,6860
 Bermuda ,"64,027",0.000827,53,27,5853000000,94400
 Marshall Islands,"55,500",0.000717,181,0.0,220000000,3866
 South Ossetia,"53,532",0.000691,3,0.0,100000000,2000
 Saint Kitts and Nevis,"52,823",0.000682,261,0.0,1058000000,18714
 Faroe Islands ,"52,122",0.000673,1,0.5,3090000000,61325
 Liechtenstein,"38,380",0.000496,160,2.7,5155000000,143151
 Monaco,"38,300",0.000495,2,0.0,6401000000,166726
 San Marino,"33,524",0.000433,61,0,1550000000,44947
 Palau,"17,900",0.000231,459,0.0,322000000,17438
 Wallis and Futuna ,"11,700",0.000151,142,0.0,188000000,12640
 Nauru,"11,000",0.000142,21,0.57,114000000,8570
 Tuvalu,"10,200",0.000132,26,0.0,32000000,2970
 Pitcairn Islands ,50,0.00000065,47,0,217000,1
